id,frames,duration
FfV_uZy8-j8, 105, 3.503500
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 136, 4.537867
FfV_uZy8-j8, 57, 1.901900
FfV_uZy8-j8, 26, 0.867533
FfV_uZy8-j8, 18, 0.600600
FfV_uZy8-j8, 24, 0.800800
FfV_uZy8-j8, 32, 1.067733
FfV_uZy8-j8, 32, 1.067733
FfV_uZy8-j8, 23, 0.767433
FfV_uZy8-j8, 45, 1.501500
FfV_uZy8-j8, 18, 0.600600
FfV_uZy8-j8, 20, 0.667333
FfV_uZy8-j8, 17, 0.567233
FfV_uZy8-j8, 20, 0.667333
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 17, 0.567233
FfV_uZy8-j8, 69, 2.302300
FfV_uZy8-j8, 32, 1.067733
FfV_uZy8-j8, 51, 1.701700
FfV_uZy8-j8, 20, 0.667333
FfV_uZy8-j8, 159, 5.305300
FfV_uZy8-j8, 16, 0.533867
FfV_uZy8-j8, 20, 0.667333
FfV_uZy8-j8, 46, 1.534867
FfV_uZy8-j8, 62, 2.068733
FfV_uZy8-j8, 34, 1.134467
FfV_uZy8-j8, 21, 0.700700
FfV_uZy8-j8, 26, 0.867533
FfV_uZy8-j8, 31, 1.034367
FfV_uZy8-j8, 63, 2.102100
FfV_uZy8-j8, 116, 3.870533
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 95, 3.169833
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 17, 0.567233
FfV_uZy8-j8, 42, 1.401400
FfV_uZy8-j8, 85, 2.836167
FfV_uZy8-j8, 30, 1.001000
FfV_uZy8-j8, 36, 1.201200
FfV_uZy8-j8, 165, 5.505500
FfV_uZy8-j8, 84, 2.802800
FfV_uZy8-j8, 53, 1.768433
FfV_uZy8-j8, 44, 1.468133
FfV_uZy8-j8, 20, 0.667333
FfV_uZy8-j8, 16, 0.533867
FfV_uZy8-j8, 30, 1.001000
FfV_uZy8-j8, 40, 1.334667
FfV_uZy8-j8, 102, 3.403400
FfV_uZy8-j8, 85, 2.836167
FfV_uZy8-j8, 272, 9.075733
IJn-EHd7VeU, 2, 0.083417
IJn-EHd7VeU, 146, 6.089417
IJn-EHd7VeU, 16, 0.667333
IJn-EHd7VeU, 19, 0.792458
IJn-EHd7VeU, 214, 8.925583
IJn-EHd7VeU, 75, 3.128125
IJn-EHd7VeU, 52, 2.168833
IJn-EHd7VeU, 75, 3.128125
IJn-EHd7VeU, 24, 1.001000
IJn-EHd7VeU, 35, 1.459792
IJn-EHd7VeU, 91, 3.795458
IJn-EHd7VeU, 17, 0.709042
IJn-EHd7VeU, 60, 2.502500
IJn-EHd7VeU, 18, 0.750750
IJn-EHd7VeU, 26, 1.084417
IJn-EHd7VeU, 48, 2.002000
IJn-EHd7VeU, 49, 2.043708
IJn-EHd7VeU, 15, 0.625625
IJn-EHd7VeU, 21, 0.875875
IJn-EHd7VeU, 27, 1.126125
IJn-EHd7VeU, 31, 1.292958
IJn-EHd7VeU, 53, 2.210542
IJn-EHd7VeU, 16, 0.667333
IJn-EHd7VeU, 15, 0.625625
IJn-EHd7VeU, 31, 1.292958
IJn-EHd7VeU, 17, 0.709042
IJn-EHd7VeU, 30, 1.251250
IJn-EHd7VeU, 34, 1.418083
IJn-EHd7VeU, 44, 1.835167
IJn-EHd7VeU, 56, 2.335667
IJn-EHd7VeU, 33, 1.376375
IJn-EHd7VeU, 20, 0.834167
IJn-EHd7VeU, 24, 1.001000
IJn-EHd7VeU, 38, 1.584917
IJn-EHd7VeU, 37, 1.543208
IJn-EHd7VeU, 34, 1.418083
IJn-EHd7VeU, 21, 0.875875
